Андромеда,Андромеды,Andromeda,Andromedae,And,900,2700
Близнецы,Близнецов,Gemini,Geminorum,Gem,6600,1800
Большая Медведица,Большой Медведицы,Ursa Major,Ursae Majoris,UMa,9900,3000
Большой Пес,Большого Пса,Canis Major,Canis Majoris,CMa,6450,-780
Весы,Весов,Libra,Librae,Lib,13950,-1200
Водолей,Водолея,Aquarius,Aquarii,Aqr,21150,-720
Возничий,Возничего,Auriga,Aurigae,Aur,6300,2400
Волк,Волка,Lupus,Lupi,Lup,13950,-1980
Волопас,Волопаса,Bootes,Bootis,Boo,13800,2640
Волосы Вероники,Волос Вероники,Coma Berenices,Comae Berenicis,Com,11700,1200
Ворон,Ворона,Corvus,Corvi,Crv,11625,-1200
Геркулес,Геркулеса,Hercules,Herculis,Her,16200,2400
Гидра,Гидры,Hydra,Hydrae,Hya,11100,-1680
Голубь,Голубя,Columba,Columbae,Col,5700,-2400
Гончие Псы,Гончих Псов,Canes Venatici,Canum Venaticorum,CVn,12600,2400
Дева,Девы,Virgo,Virginis,Vir,12900,0
Дельфин,Дельфина,Delphinus,Delphini,Del,18900,1140
Дракон,Дракона,Draco,Draconis,Dra,17100,3600
Единорог,Единорога,Monoceros,Monocerotis,Mon,7200,-300
Жертвенник,Жертвенника,Ara,Arae,Ara,16050,-3120
Живописец,Живописца,Pictor,Pictoris,Pic,4500,-3000
Жираф,Жирафа,Camelopardalis,Camelopardalis,Cam,5400,4200
Журавль,Журавля,Grus,Guis,Gru,20550,-3000
Заяц,Зайца,Lepus,Leporis,Lep,5400,-1320
Змееносец,Змееносца,Ophiuchus,Ophiuchi,Oph,15750,-240
Змея,Змеи,Serpens,Serpentis,Ser1,14400,60
Змея,Змеи,Serpens,Serpentis,Ser2,16400,-800
Золотая Рыба,Золотой Рыбы,Dorado,Doradus,Dor,4650,-3900
Индеец,Индейца,Indus,Indi,Ind,18600,-3120
Кассиопея,Кассиопеи,Cassiopeia,Cassiopeiae,Cas,1800,4200
Кентавр,Кентавра,Centaurus,Centauri,Cen,11700,-2460
Киль,Киля,Carina,Carinae,Car,6300,-3600
Кит,Кита,Cetus,Ceti,Cet,1800,-300
Козерог,Козерога,Capricornus,Capricorni,Cap,19050,-1320
Компас,Компаса,Pyxis,Pyxidis,Pyx,8250,-1800
Корма,Кормы,Puppis,Puppis,Pup,6300,-2700
Лебедь,Лебедя,Cygnus,Cygni,Cyg,18900,3000
Лев,Льва,Leo,Leonis,Leo,9900,720
Летучая Рыба,Летучей Рыбы,Volans,Volantis,Vol,6300,-4020
Лира,Лиры,Lyra,Lyrae,Lyr,16950,2700
Лисичка,Лисички,Vulpecula,Vulpeculae,Vul,18900,1500
Малая Медведица,Малой Медведицы,Ursa Minor,Ursae Minoris,UMi,14400,4800
Малый Конь,Малого Коня,Equuleus,Equulei,Equ,19200,300
Малый Лев,Малого Льва,Leo Minor,Leonis Minoris,LMi,9900,1980
Малый Пес,Малого Пса,Canis Minor,Canis Minoris,CMi,7200,180
Микроскоп,Микроскопа,Microscopium,Microscopii,Mic,19050,-2280
